caso,solucao,tempo_total,espera_media_geral,maior_espera_media,menor_espera_media,diferenca_espera,deadlock,starvation
caso1,Ordenação de Recursos,17.404496,0.706448,0.967946,0.299524,0.668422,Não,Não
caso1,Garçom,25.470746,1.890088,2.334012,1.627197,0.706815,Não,Não
